Species,Gene_Function,Count
普通小麦 (Triticum aestivum - 六倍体),WD40 repeat,28
普通小麦 (Triticum aestivum - 六倍体),WD40-repeat-containing domain,19
普通小麦 (Triticum aestivum - 六倍体),Tetratricopeptide repeat,18
普通小麦 (Triticum aestivum - 六倍体),Winged helix-like DNA-binding domain superfamily,15
普通小麦 (Triticum aestivum - 六倍体),Zinc finger,12
普通小麦 (Triticum aestivum - 六倍体),tRNA,10
普通小麦 (Triticum aestivum - 六倍体),Bacterial surface antigen,10
普通小麦 (Triticum aestivum - 六倍体),GINS complex,10
普通小麦 (Triticum aestivum - 六倍体),LSM domain,9
普通小麦 (Triticum aestivum - 六倍体),DNA polymerase,8
普通小麦 (Triticum aestivum - 六倍体),Rad1/Rec1/Rad17,7
普通小麦 (Triticum aestivum - 六倍体),WD40/YVTN repeat-like-containing domain superfamily,6
普通小麦 (Triticum aestivum - 六倍体),CCAAT-binding factor,6
普通小麦 (Triticum aestivum - 六倍体),Eukaryotic translation initiation factor 3 subunit M,6
普通小麦 (Triticum aestivum - 六倍体),ATPase,6
普通小麦 (Triticum aestivum - 六倍体),Diphosphomevalonate decarboxylase,6
普通小麦 (Triticum aestivum - 六倍体),CDC45 family,6
普通小麦 (Triticum aestivum - 六倍体),NFACT,6
普通小麦 (Triticum aestivum - 六倍体),RNA 3'-terminal phosphate cyclase domain,6
普通小麦 (Triticum aestivum - 六倍体),RNA polymerase Rpb7-like,6
普通小麦 (Triticum aestivum - 六倍体),Pre-mRNA-splicing factor  Cwf15/Cwc15,6
普通小麦 (Triticum aestivum - 六倍体),Ribosomal protein/NADH dehydrogenase domain,6
普通小麦 (Triticum aestivum - 六倍体),Sda1,5
普通小麦 (Triticum aestivum - 六倍体),RFT1,5
普通小麦 (Triticum aestivum - 六倍体),Ubiquinone biosynthesis monooxygenase COQ6,5
普通小麦 (Triticum aestivum - 六倍体),DnaJ domain,5
普通小麦 (Triticum aestivum - 六倍体),Aminoacyl-tRNA synthetase,5
普通小麦 (Triticum aestivum - 六倍体),26S proteasome non-ATPase regulatory subunit 3,5
普通小麦 (Triticum aestivum - 六倍体),Eukaryotic translation initiation factor 3 subunit I,5
普通小麦 (Triticum aestivum - 六倍体),26S Proteasome non-ATPase regulatory subunit 13,5
普通小麦 (Triticum aestivum - 六倍体),tRNA guanosine-2'-O-methyltransferase,5
普通小麦 (Triticum aestivum - 六倍体),cell division cycle 5-like protein,5
普通小麦 (Triticum aestivum - 六倍体),ESCRT-II complex,5
普通小麦 (Triticum aestivum - 六倍体),GPN-loop GTPase,5
