BUSCO_ID,Mean_Ka,Mean_Ks,Mean_KaKs,Median_KaKs,Num_Pairs,Selection_Status
598949at2759,0.8237,0.56443,1.7408,1.28813,101,Positive
918816at2759,1.58462,0.44327,4.58565,4.19738,15,Positive
817008at2759,0.44595,1.18566,0.41506,0.37861,33,Purifying
1001705at2759,0.68194,0.66405,1.43516,0.56173,105,Purifying
1455730at2759,0.49416,1.03275,0.6117,0.56012,105,Purifying
774318at2759,0.70669,1.11737,1.02648,0.47075,104,Purifying
1576404at2759,0.43167,1.22697,0.40024,0.29515,53,Purifying
655400at2759,1.64677,0.49326,3.7859,2.98672,13,Positive
604979at2759,0.76753,0.85982,1.32114,1.52681,21,Positive
621827at2759,1.24076,0.58542,2.83246,2.66895,104,Positive
1440961at2759,1.43873,0.42428,3.75986,3.9111,10,Positive
582756at2759,1.4787,0.71664,4.1946,2.6327,27,Positive
1065019at2759,1.1252,0.78567,2.25663,1.31509,27,Positive
1111142at2759,1.79418,0.38585,4.78553,4.35514,9,Positive
1287401at2759,0.61003,0.60835,1.18031,1.14169,55,Positive
375960at2759,1.41871,0.62115,3.43615,3.589,21,Positive
1421503at2759,0.50728,0.7016,0.81079,0.75888,10,Purifying
257318at2759,0.87246,0.75043,1.74292,0.72251,69,Purifying
306227at2759,0.80324,0.60999,1.47365,0.95019,28,Purifying
1380409at2759,0.80414,0.65878,1.35245,1.31342,28,Positive
679771at2759,0.87982,0.72754,1.9088,0.58518,19,Purifying
1053181at2759,1.00567,0.77795,2.97752,1.63163,57,Positive
664730at2759,0.58951,1.25511,0.86748,0.41457,101,Purifying
1395649at2759,1.11378,0.40076,3.0276,1.27353,34,Positive
1442062at2759,1.54494,0.38136,4.45905,4.66404,52,Positive
1010730at2759,0.91537,0.72131,1.45948,1.43715,15,Positive
418107at2759,1.00847,0.66218,2.01279,1.28285,21,Positive
1370304at2759,1.21556,0.65419,2.50509,1.53655,4,Positive
1197019at2759,0.92209,0.64995,1.51132,1.66178,28,Positive
777920at2759,1.09339,0.60735,2.21882,2.24202,15,Positive
878143at2759,0.77593,0.91298,1.23815,1.01371,27,Positive
1090038at2759,0.89827,0.63119,1.6254,1.65081,105,Positive
1087488at2759,1.36724,0.57791,3.10605,4.14908,13,Positive
1200489at2759,1.28017,0.55435,2.55278,2.25451,21,Positive
1193442at2759,0.5988,1.03795,0.8554,0.64925,35,Purifying
39650at2759,0.77627,0.79079,1.06973,1.29272,10,Positive
383503at2759,0.85863,0.94454,1.70246,1.62133,41,Positive
156083at2759,0.79825,1.45465,1.50826,0.2671,26,Purifying
1269244at2759,1.10786,0.36531,2.96543,2.93168,15,Positive
1259741at2759,0.86762,1.16614,1.62347,0.48332,80,Purifying
919955at2759,1.06145,0.65448,1.96111,2.22178,10,Positive
1157302at2759,0.40703,1.50809,0.3334,0.27722,32,Purifying
1342242at2759,1.08303,0.61716,2.22767,1.3468,105,Positive
1567796at2759,0.62159,0.96886,0.95744,0.62694,38,Purifying
1488235at2759,0.73229,0.58138,1.30974,1.26295,66,Positive
692986at2759,1.09418,0.94929,3.5583,2.50324,18,Positive
1322299at2759,1.44544,0.44838,3.95387,3.46041,10,Positive
1223488at2759,1.37033,0.67179,4.21445,4.43766,85,Positive
674169at2759,1.83815,0.41706,5.15414,5.15322,29,Positive
1194691at2759,0.87744,0.64676,1.51721,1.56623,28,Positive
1217666at2759,0.74895,0.84642,1.51431,0.75015,100,Purifying
