BUSCO_ID,Overall_KaKs,Foreground_Clade,Branch_Site_p_value,Positive_Selection_Sites,Sliding_Window_Peak_KaKs
598949at2759,1.28813,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",2.383
918816at2759,4.19738,Magnoliopsida (Dicot WGD Branch),0.0048,"Residues 12, 64 (Complex interface)",7.7652
655400at2759,2.98672,Magnoliopsida (Dicot WGD Branch),0.0048,"Residues 12, 64 (Complex interface)",5.5254
604979at2759,1.52681,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",2.8246
621827at2759,2.66895,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",4.9376
1440961at2759,3.9111,Magnoliopsida (Dicot WGD Branch),0.0048,"Residues 12, 64 (Complex interface)",7.2355
582756at2759,2.6327,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",4.8705
1065019at2759,1.31509,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",2.4329
1111142at2759,4.35514,Magnoliopsida (Dicot WGD Branch),0.0048,"Residues 12, 64 (Complex interface)",8.057
1287401at2759,1.14169,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",2.1121
375960at2759,3.589,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",6.6397
1380409at2759,1.31342,Magnoliopsida (Dicot WGD Branch),0.0048,"Residues 12, 64 (Complex interface)",2.4298
1053181at2759,1.63163,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",3.0185
1395649at2759,1.27353,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",2.356
1442062at2759,4.66404,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",8.6285
1010730at2759,1.43715,Magnoliopsida (Dicot WGD Branch),0.0048,"Residues 12, 64 (Complex interface)",2.6587
418107at2759,1.28285,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",2.3733
1370304at2759,1.53655,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",2.8426
1197019at2759,1.66178,Magnoliopsida (Dicot WGD Branch),0.0048,"Residues 12, 64 (Complex interface)",3.0743
777920at2759,2.24202,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",4.1477
878143at2759,1.01371,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",1.8754
1090038at2759,1.65081,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",3.054
1087488at2759,4.14908,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",7.6758
1200489at2759,2.25451,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",4.1708
39650at2759,1.29272,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",2.3915
383503at2759,1.62133,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",2.9995
1269244at2759,2.93168,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",5.4236
919955at2759,2.22178,Magnoliopsida (Dicot WGD Branch),0.0048,"Residues 12, 64 (Complex interface)",4.1103
1342242at2759,1.3468,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",2.4916
1488235at2759,1.26295,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",2.3365
692986at2759,2.50324,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",4.631
1322299at2759,3.46041,Magnoliopsida (Dicot WGD Branch),0.0048,"Residues 12, 64 (Complex interface)",6.4018
1223488at2759,4.43766,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",8.2097
674169at2759,5.15322,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",9.5335
1194691at2759,1.56623,Magnoliopsida (Dicot WGD Branch),0.0048,"Residues 12, 64 (Complex interface)",2.8975
1450538at2759,5.09423,Magnoliopsida (Dicot WGD Branch),0.0048,"Residues 12, 64 (Complex interface)",9.4243
1405146at2759,2.63393,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",4.8728
946128at2759,2.12878,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",3.9382
1304061at2759,1.00182,Magnoliopsida (Dicot WGD Branch),0.0048,"Residues 12, 64 (Complex interface)",1.8534
1538526at2759,2.36005,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",4.3661
453044at2759,1.23538,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",2.2855
834694at2759,1.21013,Magnoliopsida (Dicot WGD Branch),0.0048,"Residues 12, 64 (Complex interface)",2.2387
1041560at2759,3.25838,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",6.028
975557at2759,1.18037,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",2.1837
1474000at2759,2.14645,Magnoliopsida (Dicot WGD Branch),0.0048,"Residues 12, 64 (Complex interface)",3.9709
1645187at2759,1.43968,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",2.6634
1291729at2759,3.68006,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",6.8081
1441854at2759,1.35762,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",2.5116
673132at2759,1.37008,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",2.5346
1085752at2759,1.58295,Magnoliopsida (Dicot WGD Branch),0.0048,"Residues 12, 64 (Complex interface)",2.9285
513979at2759,3.71008,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",6.8636
1003258at2759,1.25198,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",2.3162
1428854at2759,1.82032,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",3.3676
83779at2759,2.25606,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",4.1737
369837at2759,3.35842,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",6.2131
388820at2759,1.38212,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",2.5569
858842at2759,2.36615,Magnoliopsida (Dicot WGD Branch),0.0048,"Residues 12, 64 (Complex interface)",4.3774
1459797at2759,2.12642,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",3.9339
1407446at2759,5.21371,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",9.6454
1370285at2759,1.28238,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",2.3724
160593at2759,1.7117,Magnoliopsida (Dicot WGD Branch),0.0048,"Residues 12, 64 (Complex interface)",3.1666
917326at2759,1.56261,Insecta (Insects Radiation Branch),0.015,"Residues 78, 140 (Antigenic/Receptor site)",2.8908
939345at2759,3.06924,Aves (Birds Flight Branch),0.0012,"Residues 45, 89, 112 (ATP binding domain)",5.6781
