Index,BUSCO_ID,Num_Pairs,Gene_Name,Category,Median_KaKs,Selection_Status,Is_Top25
1,598949at2759,101,Eukaryotic Ortholog 598949,核心单拷贝同源基因 / 生理代谢稳态,1.2881,正选择 (Positive),否
2,918816at2759,15,Eukaryotic Ortholog 918816,核心单拷贝同源基因 / 生理代谢稳态,4.1974,正选择 (Positive),否
3,817008at2759,33,Eukaryotic Ortholog 817008,核心单拷贝同源基因 / 生理代谢稳态,0.3786,纯化选择 (Purifying),否
4,1001705at2759,105,Eukaryotic Ortholog 1001705,核心单拷贝同源基因 / 生理代谢稳态,0.5617,纯化选择 (Purifying),否
5,1455730at2759,105,"SKI-interacting protein, SKIP",细胞骨架与细胞运动,0.5601,纯化选择 (Purifying),是 (Top 25 建树基因)
6,774318at2759,104,Dol-P-Man,核心管家基因 / 生理代谢稳态,0.4708,纯化选择 (Purifying),是 (Top 25 建树基因)
7,1576404at2759,53,Eukaryotic Ortholog 1576404,核心单拷贝同源基因 / 生理代谢稳态,0.2952,纯化选择 (Purifying),否
8,655400at2759,13,Eukaryotic Ortholog 655400,核心单拷贝同源基因 / 生理代谢稳态,2.9867,正选择 (Positive),否
9,604979at2759,21,Eukaryotic Ortholog 604979,核心单拷贝同源基因 / 生理代谢稳态,1.5268,正选择 (Positive),否
10,621827at2759,104,WD40-repeat-containing domain,核心管家基因 / 生理代谢稳态,2.669,正选择 (Positive),是 (Top 25 建树基因)
11,1440961at2759,10,Eukaryotic Ortholog 1440961,核心单拷贝同源基因 / 生理代谢稳态,3.9111,正选择 (Positive),否
12,582756at2759,27,Eukaryotic Ortholog 582756,核心单拷贝同源基因 / 生理代谢稳态,2.6327,正选择 (Positive),否
13,1065019at2759,27,Eukaryotic Ortholog 1065019,核心单拷贝同源基因 / 生理代谢稳态,1.3151,正选择 (Positive),否
14,1111142at2759,9,Eukaryotic Ortholog 1111142,核心单拷贝同源基因 / 生理代谢稳态,4.3551,正选择 (Positive),否
15,1287401at2759,55,Eukaryotic Ortholog 1287401,核心单拷贝同源基因 / 生理代谢稳态,1.1417,正选择 (Positive),否
16,375960at2759,21,Eukaryotic Ortholog 375960,核心单拷贝同源基因 / 生理代谢稳态,3.589,正选择 (Positive),否
17,1421503at2759,10,Eukaryotic Ortholog 1421503,核心单拷贝同源基因 / 生理代谢稳态,0.7589,纯化选择 (Purifying),否
18,257318at2759,69,Eukaryotic Ortholog 257318,核心单拷贝同源基因 / 生理代谢稳态,0.7225,纯化选择 (Purifying),否
19,306227at2759,28,Eukaryotic Ortholog 306227,核心单拷贝同源基因 / 生理代谢稳态,0.9502,纯化选择 (Purifying),否
20,1380409at2759,28,Eukaryotic Ortholog 1380409,核心单拷贝同源基因 / 生理代谢稳态,1.3134,正选择 (Positive),否
