Accession,Total_Transcripts,Median_Intron_bp,Mean_Intron_bp,Total_Intergenic,Median_Intergenic_bp,Mean_Intergenic_bp
GCF_000002435.2,11,41.00,417138.73,4823,82.00,471.02
GCF_000002775.5,51589,385.50,1144.10,31510,4304.00,8152.80
GCF_000004075.3,30315,422.75,691.53,22332,2972.00,5793.17
GCF_000004195.4,44481,2114.62,4321.12,26352,7852.50,28391.84
GCF_000147395.1,32995,373.00,619.24,30182,3417.50,7782.32
GCF_000208745.1,28793,350.80,530.70,22918,2536.00,9989.50
GCF_000231095.2,27545,372.31,574.26,25068,3330.00,6635.06
GCF_000309985.2,56512,148.00,428.96,42446,1217.00,3630.28
GCF_000499845.2,39039,419.62,674.59,31672,5691.00,12745.52
GCF_000715075.1,87628,624.60,1027.49,72726,21159.00,48945.99
GCF_001411555.2,42630,521.00,896.03,33914,5469.50,11608.78
GCF_001640805.2,45541,783.38,1919.28,27193,1513.00,7856.00
GCF_001659605.2,48514,431.33,757.47,31874,3852.50,15567.46
GCF_001660625.3,52354,1153.15,2444.51,27907,3250.00,12159.32
GCF_001704415.2,41863,2710.43,6275.91,21867,15216.00,74142.18
GCF_001858045.2,62947,955.10,2369.75,35631,4062.00,12567.96
GCF_002127325.2,73923,375.00,802.54,78775,13778.00,34642.26
GCF_002204515.2,27835,6142.40,11831.93,16079,13343.00,43734.98
GCF_002263795.3,64601,3096.17,7115.98,26906,16751.50,65213.20
GCF_002575655.3,54143,383.73,795.45,63844,9653.00,60694.13
GCF_003013715.1,498,58.00,139.90,5483,458.00,764.05
GCF_003254395.2,24128,493.00,2878.00,9879,1424.00,9417.50
GCF_003473485.1,38832,440.58,671.44,36903,4421.00,8005.80
GCF_004115215.2,38554,2809.50,5984.01,26050,13469.50,43796.97
GCF_004115265.2,48095,2717.75,6227.71,20500,11444.50,59214.13
GCF_004193775.1,65567,447.33,682.09,52546,5594.00,14523.63
GCF_006345805.1,34786,4774.66,10652.98,22602,16328.00,68239.55
GCF_007990345.1,114336,330.11,516.66,89043,8290.00,22606.95
GCF_008831285.2,34493,734.80,1308.69,22232,4531.50,10880.35
GCF_009017415.1,11117,64.00,91.55,13258,544.00,1036.31
GCF_009834535.1,56774,2609.94,6112.49,25081,11980.00,48030.74
GCF_009870125.1,25301,326.50,1489.88,13578,1134.00,6132.61
GCF_009873245.2,52951,2857.67,6148.44,20839,14932.00,69940.96
GCF_009914755.1,142507,3823.23,7940.18,31980,17339.50,59030.06
GCF_010015445.1,49967,1241.22,2795.14,27903,3980.00,14623.70
GCF_010111755.1,139,291.00,388.05,5477,500.00,785.80
GCF_010909765.2,38760,4079.21,7668.90,21758,18365.00,67758.08
GCF_011004845.1,58760,1123.68,2534.03,27438,3586.00,14488.60
GCF_011100685.1,66733,3259.29,6929.85,29753,14883.00,46739.51
GCF_011386835.1,88453,3664.91,7776.76,27838,13116.00,42778.24
GCF_011762595.2,68498,3064.46,6227.39,21684,13504.00,62159.70
GCF_012275295.1,29294,1627.97,3889.26,16882,5568.50,35091.23
GCF_012489685.1,41072,403.33,633.85,37377,4203.00,11018.68
GCF_013085055.1,12564,57.00,81.86,15870,700.00,1322.80
GCF_013265735.2,100481,1594.92,3336.61,65437,2260.00,16447.39
GCF_014356525.2,32227,3225.93,6727.28,16599,8297.00,27671.88
GCF_014839805.1,24102,936.35,2628.33,15304,2774.00,12865.27
GCF_014858855.1,37749,4470.17,9141.19,24539,34576.00,122182.94
GCF_015732765.1,23808,1965.04,5694.16,15380,5748.50,21245.70
GCF_016545825.1,43544,417.35,752.06,37392,5527.00,12445.98
GCF_016699485.2,72038,1890.95,4282.83,19739,4646.00,24770.13
GCF_016746395.2,24594,363.00,1322.87,12611,617.00,4439.13
GCF_016772045.2,77494,3297.33,7027.59,25753,16015.00,65459.71
GCF_016802725.1,31158,666.05,3278.96,13448,2598.50,13060.82
GCF_016835505.1,41887,5375.89,10503.76,25414,17602.00,73174.68
GCF_017654675.1,72552,2369.74,4822.82,39913,11667.00,37707.85
GCF_017976375.1,45472,2061.65,4913.66,17464,5134.00,30436.86
GCF_018135715.1,20743,546.55,1597.87,12600,1791.50,9258.94
GCF_018294505.1,145182,386.75,737.02,130025,28347.00,105666.86
GCF_018296145.1,83784,1530.51,3250.36,42134,6807.00,24026.88
GCF_018340385.1,80809,1004.50,2379.67,49148,3643.50,16762.14
GCF_018350175.1,75183,3397.09,7465.78,28434,13528.50,48133.15
GCF_018350195.1,56783,3223.95,6617.26,25182,14449.00,58202.31
GCF_018350215.1,54170,3236.38,6654.53,24132,14297.50,57642.10
GCF_019175285.1,44311,2726.55,6405.69,19654,10200.50,47588.41
GCF_019923935.1,64977,3177.58,7425.58,28054,16061.00,59657.24
GCF_020283565.1,46246,411.68,677.09,39631,3493.00,6679.49
GCF_020379485.1,107465,146.89,285.27,104800,2405.00,5928.52
GCF_021134715.1,28779,113.12,437.37,19041,706.00,3234.75
GCF_021901695.1,15566,86.03,98.48,17389,1413.00,3313.75
GCF_022201045.2,40024,352.63,1056.92,26599,3428.00,7603.51
GCF_022682495.2,51767,2738.00,6134.37,21072,11175.50,56721.46
GCF_023065955.2,55947,3255.32,6879.44,22842,12757.00,59608.64
GCF_023101765.2,28712,1096.00,3287.32,14076,2312.00,11896.33
GCF_023375975.1,53166,1675.92,5417.31,47840,1239.00,12910.13
GCF_025177605.1,36635,438.07,808.63,26180,3622.00,10648.06
GCF_025698485.1,46037,312.38,540.70,48279,10107.00,30274.09
GCF_025698545.1,49035,319.00,590.53,40893,6626.00,15007.27
GCF_026745355.1,34754,737.50,1166.37,28069,7168.00,15000.69
GCF_027595985.1,38033,2821.35,7134.14,22678,14594.50,68260.48
GCF_027887165.2,60542,4203.34,8914.19,25478,23651.50,89234.33
GCF_028858775.2,116998,3766.41,7617.23,27909,18789.00,70108.85
GCF_028885625.2,81777,3558.82,7370.73,25046,19810.50,83280.97
GCF_028885655.2,84278,3670.13,7659.17,27813,20208.00,76177.36
GCF_029169275.1,30158,566.23,3219.54,9443,1261.00,9755.04
GCF_029281585.2,82478,3616.99,7537.50,27901,18961.00,74132.15
GCF_029289425.2,82944,3639.60,7967.18,25843,17906.00,74596.87
GCF_029378745.1,59682,3170.67,7263.07,25156,15425.50,65203.78
GCF_030014295.1,54038,3593.79,7492.45,24980,19830.50,87827.77
GCF_030052815.1,56284,451.00,865.23,43442,6841.00,37561.14
GCF_030254825.1,53666,2802.00,6982.98,26039,13874.00,67625.22
GCF_030269925.1,28119,1361.00,3671.43,14417,4319.00,15958.09
GCF_030506205.2,45306,1106.19,2811.97,44080,1399.50,11568.96
GCF_030704535.1,39131,647.40,1160.71,26872,4448.00,12196.48
GCF_030788295.1,23627,439.67,1864.78,12573,1024.00,7246.95
GCF_030867145.1,39675,2248.70,5329.85,17659,5955.00,42236.25
GCF_040581485.1,29147,436.38,2344.64,12719,1283.00,7427.76
