Gene1,Gene2,Ka,Ks,Ka/Ks,Species,Organism_Name
plecb,pleca,0.1751810209527207,2.377703435866603,0.0736765646674823,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
hmcn1,hmcn2,0.5120961514895569,2.103593897050648,0.2434386942306418,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108893541,ryr1b,0.0880042081615503,2.282033883948973,0.0385639357857659,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108893541,ryr2a,0.2626196765726118,3.6583766819582766,0.0717858491356979,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108893541,LOC108892522,0.2522737547837168,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108893541,ryr3,0.2587192318510838,4.386285889367551,0.0589836682734759,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
ryr1b,ryr2a,0.2615008975402388,2.121598969282224,0.1232565161118594,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
ryr1b,LOC108892522,0.2465193823028829,2.319695014503173,0.1062723249227148,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
ryr1b,ryr3,0.2514841180099743,1.894511997658856,0.1327434813401793,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108901513,LOC108876018,0.6506979535852775,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
ryr2a,LOC108892522,0.2518610200076332,2.256717608681821,0.1116050227280091,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
ryr2a,ryr3,0.2471343032591083,2.046061874898333,0.1207853517486553,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108892522,ryr3,0.1097255856884792,1.4668017522927403,0.0748060094126343,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108893279,fat3a,0.3500371206905832,3.953826023483167,0.0885312400220923,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
lrp2a,lrp2b,0.3793136557089138,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
dnah5,dnah5l,0.33848417726059,2.2647002760074915,0.1494609157982326,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
dnah5,LOC108884179,0.3549398753994672,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
lrp1bb,LOC108885979,0.3459760532884211,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108884179,dnah5l,0.3697360855001022,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108885979,LOC108876439,0.0879576414749399,1.6907336951758478,0.0520233563250726,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
dnah9l,dnah9,0.3390025910944886,2.2153809988833872,0.153022252725538,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
dnah9l,LOC108891167,0.3367973087748847,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
dnah9,LOC108891167,0.3529548709810315,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108879909,col6a3,0.3459612693774946,0.8960895508620128,0.3860789014275299,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108900068,LOC108879499,0.0023879520540474,0.0036959892841507,0.6460927969373461,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
sptbn5,LOC108893349,0.8216111482848267,3.556279739336479,0.2310310798098579,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
dnah12,dnah7,0.4116792192488549,3.687779715013062,0.1116333542301609,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108879560,dspa,0.3509735222323507,3.071388997630169,0.1142719214346199,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
celsr3,celsr1a,0.4601981454163808,2.224853866490445,0.2068442122638427,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
celsr3,celsr2,0.4634148318392844,2.2765202850823045,0.203562794883038,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
apobb.1,LOC108895952,0.0729454964434743,0.1954990403063658,0.3731245755946513,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
col12a1b,col12a1a,0.212161092298312,1.6041197696224412,0.1322601318904311,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
col12a1b,LOC108887585,0.4911865303886294,1.5628374262600264,0.314291507315685,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
col12a1b,col14a1a,0.514936668329768,2.0965021992273507,0.2456170418135234,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108898204,LOC108888711,0.1624747217671882,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108898204,LOC108877732,0.3474072475486511,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108898204,csmd2,0.3654314042431745,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
spegb,spega,0.3621164367558852,3.052670139910239,0.1186228515232022,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108888711,LOC108877732,0.3565226964759029,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108888711,csmd2,0.3651707837933988,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108877732,csmd2,0.3248940657361653,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108893744,LOC108876012,0.1937736211910723,2.947079247560147,0.0657510724733633,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883302,LOC108896076,0.0636928319487013,0.0486913022381864,1.308094649782233,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883302,LOC108892946,0.0602216669582938,0.0437836305787683,1.375437947064552,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883302,LOC108883390,0.0626686795594412,0.0616119079067866,1.0171520683023392,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883302,LOC108890022,0.6024063147101131,1.0695601356454518,0.5632280922162235,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883302,LOC108900605,0.6240622880566276,1.0784732658675231,0.5786534611543035,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
triob,LOC108900391,0.1226486405469942,1.6248854193152966,0.0754814087744578,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
triob,LOC108872807,0.2700590041097557,2.2791835058363894,0.1184893640280414,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
triob,LOC108873203,0.3783753037613694,1.9974405728456488,0.1894300681107713,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
frem3,frem2b,0.2010207932675012,3.6210773916183454,0.0555140836627245,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
frem3,frem2a,0.2267649161105509,2.409774780959459,0.0941021202073763,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
frem2a,frem2b,0.1491951371939539,3.0318176780089114,0.049209798556203,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
frem2b,frem1a,0.8330054354833918,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
col12a1a,LOC108887585,0.4879228707232645,1.800882956429585,0.2709353592254636,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
col12a1a,col14a1a,0.5048251406686287,2.288715719325808,0.2205713607880214,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
col12a1a,LOC108884763,0.683206013020992,2.833209773606427,0.2411420500471205,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
fryb,frya,0.1638304816456944,2.280049204375449,0.071853923736076,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108880234,LOC108888433,0.003735588790339,0.0079156407590176,0.4719250031759526,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
celsr1a,celsr2,0.353778916481807,2.1213380895062683,0.1667715854591323,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
nbeaa,LOC108876017,0.1110217898865243,1.926848058828794,0.057618341715022,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
nbeaa,lrba,0.3050694437595905,2.0506899985192373,0.1487642910336887,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108872807,LOC108900391,0.2765564465713459,1.9623922083574452,0.1409282229075034,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108872807,LOC108873203,0.2709772543218353,1.7144779201035951,0.1580523441826896,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108900391,LOC108873203,0.3520791546626494,1.6703788785748217,0.2107780211894475,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
si:ch211-186j3.6,LOC108875425,0.2343327780055806,2.076304604959069,0.1128605010295202,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
si:ch211-186j3.6,si:dkey-22o22.2,0.4313737768843605,1.789707366437416,0.2410303410344962,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
myo18ab,LOC108893618,0.1984912366098624,2.349523831396201,0.0844814740576218,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
si:dkey-22o22.2,LOC108875425,0.4603050596957834,2.065959240835563,0.2228045213077951,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
fbn1,fbn2b,0.2610902948354209,2.588381273774268,0.1008701065336908,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108876017,lrba,0.2942072322351274,2.362629072056621,0.12452535851471,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
