Accession,Organism_Name,Kingdom,Phylum,Total_Length_bp,GC_Percent,Bases_Masked_bp,Bases_Masked_Percent,Retroelements_Percent,DNA_Transposons_Percent,Interspersed_Repeats_Percent,Simple_Repeats_Percent,Low_Complexity_Percent
GCF_000002435.2,Giardia duodenalis,Unknown,Fornicata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_000002775.5,Populus trichocarpa,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_000004075.3,Cucumis sativus,Viridiplantae,Streptophyta,226640966,32.84,6952169,3.07,0.0,0.0,0.0,2.28,0.79
GCF_000004195.4,Xenopus tropicalis,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_000147395.1,Oryza glaberrima,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_000208745.1,Theobroma cacao,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_000231095.2,Oryza brachyantha,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_000309985.2,Brassica rapa,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_000499845.2,Phaseolus vulgaris,Viridiplantae,Streptophyta,537700155,35.62,12850359,2.39,0.0,0.0,0.0,1.85,0.54
GCF_000715075.1,Nicotiana tabacum,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_001411555.2,Juglans regia,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_001640805.2,Lates calcarifer,Metazoa,Chordata,673814222,40.76,36258435,5.38,1.12,1.22,2.36,2.16,0.39
GCF_001659605.2,Manihot esculenta,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_001660625.3,Ictalurus punctatus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_001704415.2,Capra hircus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_001858045.2,Oreochromis niloticus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_002127325.2,Helianthus annuus,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_002204515.2,Aedes aegypti,Metazoa,Arthropoda,1278732104,38.18,13807519,1.08,0.0,0.0,0.0,0.95,0.12
GCF_002263795.3,Bos taurus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_002575655.3,Aegilops tauschii subsp. strangulata,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_003013715.1,Candidozyma auris,Fungi,Ascomycota,12249773,45.33,145489,1.19,0.06,0.02,0.09,0.55,0.14
GCF_003254395.2,Apis mellifera,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_003473485.1,Medicago truncatula,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_004115215.2,Ornithorhynchus anatinus,Metazoa,Chordata,1859281927,46.14,668414161,35.95,0.0,0.0,34.1,1.4,0.41
GCF_004115265.2,Rhinolophus ferrumequinum,Metazoa,Chordata,2075768562,40.54,684535684,32.98,0.0,0.0,31.07,1.48,0.22
GCF_004193775.1,Glycine soja,Viridiplantae,Streptophyta,1013766566,34.88,36629242,3.61,0.89,0.06,0.94,2.02,0.62
GCF_006345805.1,Octopus sinensis,Metazoa,Mollusca,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_007990345.1,Gossypium hirsutum,Viridiplantae,Streptophyta,2306070423,34.36,108845986,4.72,2.4,0.05,2.44,1.66,0.57
GCF_008831285.2,Nymphaea colorata,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_009017415.1,Aspergillus flavus,Fungi,Ascomycota,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_009193385.2,Nasonia vitripennis,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_009834535.1,Camelus ferus,Metazoa,Chordata,2087093976,41.66,648781886,31.09,0.0,0.0,29.4,1.13,0.23
GCF_009870125.1,Drosophila pseudoobscura,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
